"categoria","juris_ok","juris_abrev","anio","anio_fecha","id","value_proy","share_proy","value_exec","share_exec","rel_exec_proy"
"Ejecutivo","Presidencia de la Nación","Presidencia",2008,"01/01/2008","108",1406917426,0.00871229332204988,1559558949,0.00771330251862301,1.10849359044047
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2008,"01/01/2008","109",19068553000,0.118081433844614,20868566000,0.103212233683801,1.09439693719812
"TOTAL","TOTAL","TOTAL",2008,"01/01/2008","110",161486462174,1,202190818425,1,1.25206048669975
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2009,"01/01/2009","111",1169296352,0.00500089156654571,1930116667,0.00794012265056589,1.65066508905007
"Productivo","Ministerio de Ciencia, Tecnología e Innovación Productiva","Ciencia",2009,"01/01/2009","112",1766268663,0.00755404568392143,1835066193,0.00754910358189608,1.03895077314181
"Exterior","Ministerio de Defensa","Defensa",2009,"01/01/2009","113",10703079840,0.0457753431081614,11648270427,0.0479187074225392,1.08831015008106
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2009,"01/01/2009","114",10285197869,0.0439881294381529,11324464714,0.0465866340198624,1.10104490533258
"Productivo","Ministerio de Economía","Economía",2009,"01/01/2009","115",7809546982,0.0334001706017692,1103574679,0.00453989049218385,0.141310972524219
"Básico","Ministerio de Educación","Educación",2009,"01/01/2009","116",12687203343,0.054261118742513,14461120457,0.0594902225634154,1.13981939644553
"Productivo","Ministerio de Industria","Industria",2009,"01/01/2009","117",NA,NA,5899414038,0.0242690360790456,NA
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2009,"01/01/2009","118",9719549281,0.0415689418228668,11651437760,0.047931737211321,1.19876317544647
"Interior","Ministerio del Interior","Interior",2009,"01/01/2009","119",994192270,0.00425199970055832,1283561550,0.00528032129394096,1.29105967601217
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2009,"01/01/2009","120",36215432725,0.154887554197429,38180082474,0.157065395494189,1.05424896518339
